sample_id,pdf_id,pdf_filename,page_num_1based,page_idx_0based,n_pages_in_pdf,quota_for_pdf,stratum,selection_rule,reviewer,status,certificado_no,marca,chasis,linea,pasajeros,modelo,clase,placa,motor,color,quality_flag,notes,labeled_at_utc
1943853451945_p020,1943853451945,1943853451945.pdf,20,19,21,8,hard_end,fixed:n-1,,in_progress,400,ISUZU,JAANKRECEK7100050,,3,2019,CAMION,C-0262BRN,M723211,S/C,,seed_from_model,
1943853451945_p021,1943853451945,1943853451945.pdf,21,20,21,8,hard_end,fixed:n,,in_progress,401,ISUZU,JAANKREGEK7100051,SIVMODELO3,3,2019,CAMION,C-0263BRN,123209NI,,,seed_from_model,
1943853451946_p021,1943853451946,1943853451946.pdf,21,20,21,8,hard_end,fixed:n,,in_progress,378,ISUZU,MPATFSEGJFTC01954,DAMAXLS,3,2015,,O-260FWF,N3928PLA,S/C,,seed_from_model,
1943853451948_p001,1943853451948,1943853451948.pdf,1,0,21,8,hard_front,fixed:1,,in_progress,284,TOYOTA,MR0CS12G300056118,RMXXO,5,2008,,P-052HY,N2KD7493,BLANCO,,seed_from_model,
1943853451948_p021,1943853451948,1943853451948.pdf,21,20,21,8,hard_end,fixed:n,,in_progress,305,HINO,JHHAFJ1HCHK005951,VTYCOO,3,,CAMION,C-689BV,MWOLOJ63,BLANCO,,seed_from_model,
1943853451952_p001,1943853451952,1943853451952.pdf,1,0,20,8,hard_front,fixed:1,,in_progress,26,HINO,JMU10396PASA1ER0S,,3,2005,CAMION,C-033BBR,M108CF24,BLANCO,,seed_from_model,
1943853451940_p011,1943853451940,1943853451940.pdf,11,10,21,8,middle,anchor:0.50n,,in_progress,454,ISUZU,JAANPR71HR7101229,NP,3,2024,CAMION,,0774199,BLANCO,,seed_from_model,
1943853451941_p016,1943853451941,1943853451941.pdf,16,15,21,8,end,anchor:0.75n,,in_progress,438,ISUZU,JAANPR71HR7100831,NP,3,2024,CAMION,,OVF833ON,BLANCO,,seed_from_model,
1943853451942_p004,1943853451942,1943853451942.pdf,4,3,12,6,begin,anchor:0.33n,,in_progress,468,ISUZU,JAANPR71HR7100321,NP,3,2024,CAMION,,NOVA314,BLANCO,,seed_from_model,
1943853451946_p006,1943853451946,1943853451946.pdf,6,5,21,8,begin,anchor:0.28n,,in_progress,355,ISUZU,JAANKRSSEGT102113,LNEANKR,3,2006,CAMION,,N346057,S/C,,seed_from_model,
1943853451951_p006,1943853451951,1943853451951.pdf,6,5,21,8,begin,anchor:0.28n,,in_progress,71,ISUZU,JAANPR71HE7100335,NP,3,2014,CAMION,,M188304,BLANCO,,seed_from_model,
1943853451941_p011,1943853451941,1943853451941.pdf,11,10,21,8,middle,anchor:0.50n,,in_progress,433,ISUZU,JAANKRSSES7100007,,3,2005,CAMION,P-077BCG,N137631,S/C,,seed_from_model,
1943853451943_p006,1943853451943,1943853451943.pdf,6,5,21,8,begin,anchor:0.28n,,in_progress,407,ISUZU,JAANKREGE37100056,,3,2019,CAMION,O-791BRS,M728912,S/C,,seed_from_model,
1943853451943_p011,1943853451943,1943853451943.pdf,11,10,21,8,middle,anchor:0.50n,,in_progress,412,ISUZU,JAANKRECEK2100081,,3,2019,CAMION,P-0313BRT,M737495,S/C,,seed_from_model,
1943853451943_p012,1943853451943,1943853451943.pdf,12,11,21,8,middle,anchor:0.58n,,in_progress,413,ISUZU,JAANKREGEK7100084,,3,2019,CAMION,S-008RT,M738961,S/C,,seed_from_model,
1943853451944_p011,1943853451944,1943853451944.pdf,11,10,21,8,middle,anchor:0.50n,,in_progress,339,HINO,JHHACJ1FXKKS06598,,3,2022,CAMION,C-418BVC,NKOLCWF1,BLANCO,,seed_from_model,
1943853451944_p012,1943853451944,1943853451944.pdf,12,11,21,8,middle,anchor:0.58n,,in_progress,340,HINO,JHHAC11F1NXL05643,,3,2022,CAMION,C-414BWV,NOLCWF13,BLANCO,,seed_from_model,
1943853451944_p016,1943853451944,1943853451944.pdf,16,15,21,8,end,anchor:0.75n,,in_progress,344,HINO,JHH0C13FSNK0CG363,,3,2022,CAMION,C-444BVC,MKOSCWF1,BLANCO,,seed_from_model,
1943853451946_p016,1943853451946,1943853451946.pdf,16,15,21,8,end,anchor:0.75n,,in_progress,373,HINO,JHDFG1JANJEXX1432,,3,2014,CAMION,O-720BRZ,NJORCOTT,S/C,,seed_from_model,
1943853451949_p012,1943853451949,1943853451949.pdf,12,11,21,8,middle,anchor:0.58n,,in_progress,262,ISUZU,MPATERS43JT000482,DMAX,5,2018,,P-597KDS,N305990,BLANCO,,seed_from_model,
