sample_id,pdf_id,pdf_filename,page_num_1based,page_idx_0based,n_pages_in_pdf,quota_for_pdf,stratum,selection_rule,reviewer,status,certificado_no,marca,chasis,linea,pasajeros,modelo,clase,placa,motor,color,quality_flag,notes,labeled_at_utc
1943853451940_p021,1943853451940,1943853451940.pdf,21,20,21,8,hard_end,fixed:n,,in_progress,464,ISUZU,JAANPR71HST10C01S,NP,3,2025,CAMION,,MOVNA269,BLANCO,,seed_from_model,
1943853451941_p006,1943853451941,1943853451941.pdf,6,5,21,8,begin,anchor:0.28n,,in_progress,428,ISUZU,,,3,2019,CAMION,O-377BRX,SAROIMUN,S/C,,seed_from_model,
1943853451941_p020,1943853451941,1943853451941.pdf,20,19,21,8,hard_end,fixed:n-1,,in_progress,442,ISUZU,JAANPR711HR710097,NP,3,2024,CAMION,,MOVL6CE8,BLANCO,,seed_from_model,
1943853451941_p021,1943853451941,1943853451941.pdf,21,20,21,8,hard_end,fixed:n,,in_progress,443,ISUZU,JAANPR71HR7101051,NP,3,2024,CAMION,,MOVV738,BLANCO,,seed_from_model,
1943853451942_p001,1943853451942,1943853451942.pdf,1,0,12,6,hard_front,fixed:1,,in_progress,465,ISUZU,JAANPR71HS710C003,NP,3,2025,CAMION,,MOVF553,BLANCO,,seed_from_model,
1943853451942_p002,1943853451942,1943853451942.pdf,2,1,12,6,hard_front,fixed:2,,in_progress,466,ISUZU,JAANPR71HST10C018,NP,3,2025,CAMION,,OVNIRS2O,BLANCO,,seed_from_model,
1943853451943_p001,1943853451943,1943853451943.pdf,1,0,21,8,hard_front,fixed:1,,in_progress,402,ISUZU,JAANKREGEK2109044,SMAONERO,3,2019,CAMION,O-0269BRN,,S/C,,seed_from_model,
1943853451945_p012,1943853451945,1943853451945.pdf,12,11,21,8,middle,anchor:0.58n,,in_progress,392,ISUZU,MPATFS86JKT000147,,3,2019,,P-3700CYD,MSF1327,S/C,,seed_from_model,
1943853451946_p011,1943853451946,1943853451946.pdf,11,10,21,8,middle,anchor:0.50n,,in_progress,364,ISUZU,JAANKRSSEST101C0S,,3,2005,CAMION,O-741BRZ,M137687,,,seed_from_model,
1943853451946_p020,1943853451946,1943853451946.pdf,20,19,21,8,hard_end,fixed:n-1,,in_progress,377,TOYOTA,J1FHK02PCGC011413,HIACEPANEL,3,2016,PANEL,,NSL62601,S/C,,seed_from_model,
1943853451948_p011,1943853451948,1943853451948.pdf,11,10,21,8,middle,anchor:0.50n,,in_progress,295,,JHHAFJ3H4HX006052,LINESY/U609,3,2017,CAMION,C-6878VV,KMW040I6,,,seed_from_model,
1943853451949_p016,1943853451949,1943853451949.pdf,16,15,21,8,end,anchor:0.75n,,in_progress,266,ISUZU,MPATERSAHCT101G21,DMAX,,2013,,P-207IGN,N251085,BLANCO,,seed_from_model,
1943853451949_p021,1943853451949,1943853451949.pdf,21,20,21,8,hard_end,fixed:n,,in_progress,283,HYUNDAI,MHJ128138LU021944,LINESTUCSON,5,2020,SUV,,MGENAKU2,GRIS,,seed_from_model,
1943853451950_p001,1943853451950,1943853451950.pdf,1,0,21,8,hard_front,fixed:1,,in_progress,92,ISUZU,JALFVR34PE7000167,LNEA,3,2014,CAMION,,CORDBNZR,BLANCO,,seed_from_model,
1943853451941_p002,1943853451941,1943853451941.pdf,2,1,21,8,hard_front,fixed:2,,in_progress,424,ISUZU,JAANKRGGEK1100098,,3,2019,CAMION,O-381TBR,M740730,S/C,,seed_from_model,
1943853451942_p011,1943853451942,1943853451942.pdf,11,10,12,6,hard_end,fixed:n-1,,in_progress,475,SUZUKI,MA20T0SB0S0E03221,LNEAEECO,2,2025,,P-893LKF,MKIZNNA3,BLANCO,,seed_from_model,
1943853451943_p002,1943853451943,1943853451943.pdf,2,1,21,8,hard_front,fixed:2,,in_progress,403,ISUZU,JAANKR66EK7100053,,3,2019,CAMION,C-798BRS,M728355,S/C,,seed_from_model,
1943853451944_p001,1943853451944,1943853451944.pdf,1,0,21,8,hard_front,fixed:1,,in_progress,329,HINO,M1LCTV1NAL1CHR1AN,,3,2007,CAMION,C-814BWB,MS04CB13,BLANCO,,seed_from_model,
1943853451945_p001,1943853451945,1943853451945.pdf,1,0,21,8,hard_front,fixed:1,,in_progress,379,HINO,JHHUFJ1HXGKC08S16,,3,2016,CAMION,C-0195BPM,NWOI0I6S,S/C,,seed_from_model,
1943853451945_p002,1943853451945,1943853451945.pdf,2,1,21,8,hard_front,fixed:2,,in_progress,380,HINO,JHHUFJ1HGGK003772,,3,2016,CAMION,C-019BPN,NVI04016,S/C,,seed_from_model,
