sample_id,pdf_id,pdf_filename,page_num_1based,page_idx_0based,n_pages_in_pdf,quota_for_pdf,stratum,selection_rule,reviewer,status,certificado_no,marca,chasis,linea,pasajeros,modelo,clase,placa,motor,color,quality_flag,notes,labeled_at_utc
1943853451944_p006,1943853451944,1943853451944.pdf,6,5,21,8,begin,anchor:0.28n,,in_progress,334,,JHHAC11F7KK505581,,3,2022,CAMION,,NNOSCWF1,BLANCO,,seed_from_model,
1943853451946_p012,1943853451946,1943853451946.pdf,12,11,21,8,middle,anchor:0.58n,,in_progress,368,TOYOTA,JTFHK02P1C00CE399,,3,2012,,,M5L61833,S/C,,seed_from_model,
1943853451948_p012,1943853451948,1943853451948.pdf,12,11,21,8,middle,anchor:0.58n,,in_progress,296,,JHHAFJ3HXHK005997,LINESY/UCOO,3,2017,CAMION,,MVIONOJE,,,seed_from_model,
1943853451949_p006,1943853451949,1943853451949.pdf,6,5,21,8,begin,anchor:0.28n,,in_progress,244,,JHDEG1JA11XX15L40,,3,2018,CAMION,,MJXO8CF4,BLANCO,,seed_from_model,
1943853451951_p012,1943853451951,1943853451951.pdf,12,11,21,8,middle,anchor:0.58n,,in_progress,79,ISUZU,JAANPR71HE7100336,,,2014,CAMION,,JQUETZAL,BLANCO,,seed_from_model,
1943853451952_p015,1943853451952,1943853451952.pdf,15,14,20,8,end,anchor:0.75n,,in_progress,55,ISUZU,JAANPR71HC7101397,,3,,CAMION,,2507,BLANCO,,seed_from_model,
1943853451941_p001,1943853451941,1943853451941.pdf,1,0,21,8,hard_front,fixed:1,,in_progress,423,ISUZU,JAANKRGGEK7100096,,3,2019,CAMION,,M740398,S/C,,seed_from_model,
1943853451942_p012,1943853451942,1943853451942.pdf,12,11,12,6,hard_end,fixed:n,,in_progress,476,SUZUKI,MAJDT0SB3S0E03418,EECO,2,2025,,,MKIZNNI3,BLANCO,,seed_from_model,
1943853451944_p002,1943853451944,1943853451944.pdf,2,1,21,8,hard_front,fixed:2,,in_progress,330,HINO,JHH0C13F9NK0CG1AS,,3,2022,CAMION,,NOSCWF13,BLANCO,,seed_from_model,
1943853451944_p021,1943853451944,1943853451944.pdf,21,20,21,8,hard_end,fixed:n,,in_progress,349,HINO,JHH0C13F4NK0CG371,,3,2022,CAMION,,NOSCWF13,BLANCO,,seed_from_model,
1943853451946_p001,1943853451946,1943853451946.pdf,1,0,21,8,hard_front,fixed:1,,in_progress,350,HINO,JHH0C13FSNK0CG430,,3,2022,CAMION,,NOSCWF13,BLANCO,,seed_from_model,
1943853451946_p002,1943853451946,1943853451946.pdf,2,1,21,8,hard_front,fixed:2,,in_progress,351,HINO,JHH0C11FEMK0C6437,,3,2022,CAMION,,NOSCWE13,BLANCO,,seed_from_model,
1943853451948_p002,1943853451948,1943853451948.pdf,2,1,21,8,hard_front,fixed:2,,in_progress,286,HINO,JHHAF1SHSHK005995,,3,2017,CAMION,,MVIOSOJ6,BLANCO,,seed_from_model,
1943853451948_p020,1943853451948,1943853451948.pdf,20,19,21,8,hard_end,fixed:n-1,,in_progress,304,HINO,JHHAFJ3HCHK00G0B1,LNEAVUCOO,3,2017,CAMION,,MWOIDIE8,,,seed_from_model,
1943853451951_p021,1943853451951,1943853451951.pdf,21,20,21,8,hard_end,fixed:n,,in_progress,91,ISUZU,JALFVR34PE7000085,FVR,3,,CAMION,,M6526338,BLANCO,,seed_from_model,
1943853451943_p021,1943853451943,1943853451943.pdf,21,20,21,8,hard_end,fixed:n,,in_progress,422,ISUZU,JAANKRGCEK1100095,,3,2019,,C-0333BRX,M740370,S/C,,seed_from_model,
1943853451944_p020,1943853451944,1943853451944.pdf,20,19,21,8,hard_end,fixed:n-1,,in_progress,348,,JHH0C13F9NK0CG365,,3,2022,CAMION,C-442BWW,NOCCWF13,BLANCO,,seed_from_model,
1943853451943_p016,1943853451943,1943853451943.pdf,16,15,21,8,end,anchor:0.75n,,in_progress,417,ISUZU,JAANKREGEK1100989,,3,2019,CAMION,,730066ON,S/C,,seed_from_model,
1943853451945_p016,1943853451945,1943853451945.pdf,16,15,21,8,end,anchor:0.75n,,in_progress,396,ISUZU,JAANKRE6EK7100046,,3,2019,CAMION,,N722021,S/C,,seed_from_model,
1943853451940_p002,1943853451940,1943853451940.pdf,2,1,21,8,hard_front,fixed:2,,in_progress,445,ISUZU,JAAMNPR11HR710102,NP,3,2024,CAMION,,MOVNODS,BLANCO,,seed_from_model,
